2025-02-21 20:57:31.726012: Angle=-3.4°, Distance=38.9 cm
2025-02-21 20:57:32.740348: Angle=-16.3°, Distance=38.9 cm
2025-02-21 20:57:33.752749: Angle=-15.5°, Distance=38.9 cm
2025-02-21 20:57:34.771519: Angle=-15.9°, Distance=38.9 cm
2025-02-21 20:57:35.786194: Angle=-16.6°, Distance=38.9 cm
2025-02-21 20:57:36.819393: Angle=-16.7°, Distance=38.9 cm
2025-02-21 20:57:37.823780: Angle=-24.0°, Distance=54.7 cm
2025-02-21 20:57:38.834888: Angle=-14.4°, Distance=38.9 cm
2025-02-21 20:57:44.694882: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:57:45.733718: Angle=-14.4°, Distance=38.9 cm
2025-02-21 20:57:46.755052: Angle=-14.4°, Distance=38.9 cm
2025-02-21 20:57:47.784510: Angle=-14.4°, Distance=38.9 cm
2025-02-21 20:57:48.790840: Angle=-14.1°, Distance=38.9 cm
2025-02-21 20:57:49.802741: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:57:50.845152: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:57:51.869628: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:57:52.905078: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:57:53.912709: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:57:54.927127: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:57:55.952468: Angle=-12.9°, Distance=38.9 cm
2025-02-21 20:57:56.991479: Angle=-15.3°, Distance=38.9 cm
2025-02-21 20:57:58.014050: Angle=-23.2°, Distance=53.0 cm
2025-02-21 20:57:59.040042: Angle=-25.8°, Distance=79.5 cm
2025-02-21 20:58:00.071077: Angle=-23.8°, Distance=41.7 cm
2025-02-21 20:58:01.075650: Angle=-14.0°, Distance=38.9 cm
2025-02-21 20:58:02.088297: Angle=-13.7°, Distance=38.9 cm
2025-02-21 20:58:03.090967: Angle=-13.4°, Distance=38.9 cm
2025-02-21 20:58:04.095983: Angle=-9.9°, Distance=38.9 cm
